Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"JRF Savoia, RV Nunes","aaa GGGGGGS GGGGS L GGGGGGS LG GGGGLGGGLGS GG GG KLLKaS aSGGG GGGS 137|| e:| 3|= 3)[], 7|| 7",2024,"","researchgate.net","https://www.researchgate.net/profile/Rodolfo-Nunes-9/publication/382496994_Sustainable_Investment_Uma_Abordagem_sobre_a_Propulsao_de_Mudancas_no_Mercado_Tradicional/links/66a0ec135919b66c9f68496a/Sustainable-Investment-Uma-Abordagem-sobre-a-Propulsao-de-Mudancas-no-Mercado-Tradicional.pdf","",37,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,2,1,"… Index), which represents the Brazilian market portfolio. In the … sustentáveis e responsáveis no Brasil, de forma a refletir o … ESG com a teoria de value investing, visando ao longo prazo…","https://www.researchgate.net/profile/Rodolfo-Nunes-9/publication/382496994_Sustainable_Investment_Uma_Abordagem_sobre_a_Propulsao_de_Mudancas_no_Mercado_Tradicional/links/66a0ec135919b66c9f68496a/Sustainable-Investment-Uma-Abordagem-sobre-a-Propulsao-de-Mudancas-no-Mercado-Tradicional.pdf","https://scholar.google.com/scholar?q=related:cJmShzzoN5EJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"A Francisco, FC Galdi","A relação entre lucro bruto, lucro operacional e lucro líquido e os retornos futuros no Brasil",2022,"Advances in Scientific and Applied …","asaa.emnuvens.com.br","https://asaa.emnuvens.com.br/asaa/article/view/842","",38,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,2,3,"… Contributions: Therefore, the contribution of the paper was to demonstrate that net income explains future returns better in the Brazilian market, while in the American market, there is …","https://asaa.emnuvens.com.br/asaa/article/download/842/543","https://scholar.google.com/scholar?q=related:3b0WN46h5ZcJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"M Albareda Farré","Incidence of macroeconomic variables on the financial markets of the OECD countries",2023,"","diposit.ub.edu","https://diposit.ub.edu/dspace/handle/2445/209288","",41,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,2,"… As for countries outside the OECD, we can find two, Brazil representing South America and … It is a key reference point for investors and companies interested in the Brazilian market. …","https://diposit.ub.edu/dspace/bitstream/2445/209288/1/TFG%20Marc%20Albareda.pdf","https://scholar.google.com/scholar?q=related:k_1UALWN1PEJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"LAF Dietsche","Using deep learning in stock price forecasting",2019,"","repositorio.fgv.br","https://repositorio.fgv.br/bitstream/10438/28601/5/191218_Final%20Version%20Master%20Thesis%20Lucian%20Dietsche.pdf","",42,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,1,6,"… First and foremost, the interviews revealed that investors, financial analysts and advisors in the Brazilian market still mainly rely on classical approaches to stock picking and stock price …","https://repositorio.fgv.br/bitstream/10438/28601/5/191218_Final%20Version%20Master%20Thesis%20Lucian%20Dietsche.pdf","https://scholar.google.com/scholar?q=related:BFA7VEqgTKUJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"RFA Lehmkuhl","Construção de um portfólio de investimentos com base nas premissas do investidor",2022,"","","","",43,"2025-05-17 18:25:39","CITATION","","","",,,,,0,0.00,0,1,3,"","","https://scholar.google.com/scholar?q=related:Feaf_p_pdxgJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"NP Colnaghi","A parametric portfolio optimization model using signals generated via machine learning",2021,"","repositorio.insper.edu.br","https://repositorio.insper.edu.br/bitstream/11224/2856/3/Nelly%20Pires.pdf","",45,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,1,4,"… (2018) tested a value investing strategy for the Brazilian market, selecting stocks based on the … period, which confirmed the validity of the value investing strategy in the domestic market. …","https://repositorio.insper.edu.br/bitstream/11224/2856/3/Nelly%20Pires.pdf","https://scholar.google.com/scholar?q=related:f5q6eDakxVwJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"JM Sanchez","Effect of price and in-store promotion on sales: A study of distinct regions in an emerging market",2016,"","pesquisa-eaesp.fgv.br","https://pesquisa-eaesp.fgv.br/sites/gvpesquisa.fgv.br/files/juan_machado_sanchez.pdf","",46,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,1,9,"… The data contains monthly sales information for a specific beverage category in the Brazilian market such as: sales volume per category broke down by SKU (Stock Keeping Unit), sales …","https://pesquisa-eaesp.fgv.br/sites/gvpesquisa.fgv.br/files/juan_machado_sanchez.pdf","https://scholar.google.com/scholar?q=related:6iOl_wpfOHAJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"AI de Fundos-Equipe","Perfil das assets: 234 assets",2013,"Anuário da Indústria de Fundos de …","periodicos.fgv.br","http://periodicos.fgv.br/aif/article/download/19829/18549","",47,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,1,12,"… the Brazilian market since … Brasil Brazilian Services Administração de investimentos em renda variável - utilizando estratégias de investimento fundamentadas em valor (""value investing…","http://periodicos.fgv.br/aif/article/download/19829/18549","https://scholar.google.com/scholar?q=related:N34bfNCmmX0J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"AF Silva, RS de Oliveira…","ANÁLISE COMPETITIVA DE WARREN BUFFETT: UMA APLICAÇÃO NO SETOR SIDERÚRGICO BRASILEIRO",2019,"Revista …","periodicos.apps.uern.br","http://periodicos.apps.uern.br/index.php/RCC/article/view/293","",48,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,3,6,"… The characteristics of the Brazilian market and the economic problems started in 2008 make it … O foco do investidor, nesse caso, é aplicar a estratégia Value Investing, o investimento em …","http://periodicos.apps.uern.br/index.php/RCC/article/download/293/228","https://scholar.google.com/scholar?q=related:G4vephfe8KcJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"M Olsson Martin","Availability heuristic in the Real Business Cycle Model",2023,"","diposit.ub.edu","https://diposit.ub.edu/dspace/handle/2445/209287","",49,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,2,"… As for countries outside the OECD, we can find two, Brazil representing South America and … It is a key reference point for investors and companies interested in the Brazilian market. …","https://diposit.ub.edu/dspace/bitstream/2445/209287/1/TFG%20Marc%20Albareda.pdf","https://scholar.google.com/scholar?q=related:KGIj0Sy_X20J:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"EF Rossi","A Análise das demonstrações financeiras na formação de uma carteira de ações na B3",2019,"","repositorio.ufgd.edu.br","https://repositorio.ufgd.edu.br/jspui/handle/prefix/2515","",50,"2025-05-17 18:25:39","","","","",,,,,0,0.00,0,1,6,"… de Santiago, México, Lima e Brasil de 2009 a 2013 a partir … acadêmicos publicados tanto no Brasil quanto no exterior, como … trabalhos que o value investing gera retornos superiores ao …","https://repositorio.ufgd.edu.br/jspui/bitstream/prefix/2515/1/EvertonFerreiraRossi.pdf","https://scholar.google.com/scholar?q=related:QckYV3txAKsJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
0,"RFM CIRQUEIRA, A QUE, G MANGABEIRA–BA","FACULDADE MARIA MILZA BACHARELADO EM CIÊNCIAS CONTÁBEIS",,"bibliotecacovid.ufc.br","","https://bibliotecacovid.ufc.br/wp-content/uploads/2021/12/ciEncias-contAbeis-rafael-fraga-medeiro-cirqueira.pdf","",51,"2025-05-17 18:25:39","PDF","","","",,,,,0,0.00,0,3,,"… No início de 2020 o Brasil e o Mundo começaram a vivenciar … At the beginning of 2020, Brazil and the world began to … caused various impacts on the Brazilian market, such as the drop …","https://bibliotecacovid.ufc.br/wp-content/uploads/2021/12/ciEncias-contAbeis-rafael-fraga-medeiro-cirqueira.pdf","https://scholar.google.com/scholar?q=related:jYWPevgVOGEJ:scholar.google.com/&scioq=%22value+investing%22+and+%22brasil%22+or+%22brazil%22+and+%22brazilian+market%22&hl=en&as_sdt=2007&as_ylo=2010&as_yhi=2025"
